id,gender,age,country,education_level,social_media_platform,avg_daily_usage_hours,academic_impact,bedtime,wake_time,mental_health_score,relationship_status,social_media_conflicts,addiction
ID_600,laki-laki,21,UK,S2,Facebook,4.8,Yes,23:38,06:26,6,berpasangan,3,Yes
ID_296,laki-laki,19,Sri Lanka,S1,TikTok,5.7,Yes,23:06,04:48,6,lajang,3,Yes
ID_98,perempuan,19,UAE,S1,Instagram,6.8,Yes,22:25,04:37,5,berpasangan,4,Yes
ID_597,male,22,Germany,S2,Facebook,3.1,No,22:43,07:07,8,berpasangan,1,No
ID_450,L,19,Andorra,SMA,TikTok,5.3,Yes,21:19,02:49,5,berpasangan,4,Yes
ID_220,laki-laki,22,Mexico,S2,WhatsApp,7.2,Yes,20:43,01:43,6,lajang,3,Yes
ID_357,female,20,Switzerland,S1,Instagram,3.0,No,22:54,07:42,8,lajang,2,No
ID_672,laki-laki,21,Canada,S2,Instagram,4.2,Yes,23:13,07:13,7,lajang,3,No
ID_557,perempuan,20,Brazil,S1,Snapchat,5.8,Yes,22:56,04:56,6,berpasangan,2,Yes
ID_249,P,20,Maldives,S1,Instagram,3.6,No,23:27,07:51,8,berpasangan,2,No
ID_356,L,22,Russia,S2,VKontakte,4.6,No,21:45,05:15,7,berpasangan,2,No
ID_457,female,19,India,S1,Instagram,7.0,Yes,21:39,03:27,4,lajang,5,Yes
ID_651,L,22,China,S2,WeChat,4.0,No,23:15,07:33,7,berpasangan,2,No
ID_599,laki-laki,18,Argentina,SMA,TikTok,5.5,Yes,21:17,02:35,5,lajang,4,Yes
ID_26,laki-laki,23,Poland,S2,Facebook,6.4,Yes,20:56,03:14,5,lajang,4,Yes
ID_328,laki-laki,22,Pakistan,S2,Instagram,4.7,Yes,22:20,04:38,5,berpasangan,3,Yes
ID_481,female,19,Singapore,S1,TikTok,5.5,Yes,22:50,05:26,6,lajang,3,Yes
ID_415,laki-laki,19,Iceland,S1,Instagram,4.6,Yes,23:06,05:00,6,hubungan rumit,3,Yes
ID_303,laki-laki,20,Serbia,S1,YouTube,3.9,No,20:08,02:38,7,hubungan rumit,2,No
ID_72,perempuan,20,USA,S1,TikTok,8.2,Yes,20:30,00:36,5,berpasangan,4,Yes
ID_484,perempuan,20,Switzerland,S1,Instagram,3.4,No,23:38,08:02,8,lajang,2,No
ID_487,P,20,Pakistan,S1,Instagram,4.2,Yes,22:13,05:37,5,berpasangan,4,Yes
ID_153,male,20,USA,S1,Twitter,5.5,Yes,22:44,05:32,6,berpasangan,3,Yes
ID_339,L,21,Maldives,S2,TikTok,5.2,Yes,22:29,03:59,6,berpasangan,4,Yes
ID_443,male,24,Japan,S2,Twitter,4.3,No,20:41,04:11,8,lajang,2,No
ID_579,L,21,Uruguay,S1,YouTube,3.8,No,22:47,05:11,7,lajang,2,No
ID_362,perempuan,19,Spain,S1,Instagram,5.0,Yes,22:31,05:25,6,lajang,3,Yes
ID_252,female,20,Singapore,S1,TikTok,5.6,Yes,22:39,05:09,6,lajang,3,Yes
ID_676,female,20,France,S1,Instagram,4.0,No,23:14,07:14,7,berpasangan,2,No
ID_573,female,19,Japan,S1,Twitter,4.2,No,21:09,04:39,8,lajang,2,No
ID_96,perempuan,19,Ireland,S1,Instagram,4.4,Yes,21:12,04:42,7,lajang,3,No
ID_269,perempuan,19,USA,S1,Instagram,7.9,Yes,23:51,04:15,5,berpasangan,4,Yes
ID_86,L,22,Poland,S2,Facebook,4.0,No,23:24,07:30,7,lajang,2,No
ID_12,perempuan,19,Switzerland,S1,Instagram,3.1,No,22:48,07:30,8,lajang,2,No
ID_234,P,20,Sri Lanka,S1,Facebook,4.8,No,20:14,03:56,7,lajang,2,No
ID_683,laki-laki,22,Germany,S2,Facebook,4.0,No,21:30,05:06,8,berpasangan,2,No
ID_427,male,20,Sri Lanka,S1,TikTok,5.2,Yes,23:45,06:03,6,berpasangan,3,Yes
ID_181,P,20,Japan,S1,Twitter,4.3,No,21:14,04:44,8,lajang,2,No
ID_47,female,19,Bangladesh,S1,Instagram,4.4,Yes,23:25,06:49,5,lajang,3,Yes
ID_540,P,20,South Korea,S1,KakaoTalk,4.7,Yes,22:40,05:46,6,berpasangan,3,No
ID_15,male,24,Turkey,S2,TikTok,6.8,Yes,22:41,04:53,5,lajang,4,Yes
ID_698,P,19,UAE,S1,Instagram,7.0,Yes,23:52,05:52,5,berpasangan,4,Yes
ID_360,perempuan,23,UK,S2,TikTok,6.1,Yes,21:43,04:07,5,lajang,4,Yes
ID_544,L,22,Turkey,S2,TikTok,3.8,Yes,20:43,05:07,6,lajang,3,Yes
ID_679,male,22,Canada,S2,TikTok,4.8,Yes,22:55,06:19,6,lajang,3,Yes
ID_256,P,19,France,S1,Instagram,4.7,No,21:46,04:58,7,berpasangan,2,No
ID_525,L,19,Nepal,S1,Facebook,4.9,No,23:17,06:23,7,lajang,2,No
ID_309,male,22,New Zealand,S2,Instagram,4.7,Yes,21:28,04:58,7,berpasangan,3,No
ID_697,laki-laki,21,Nepal,S1,YouTube,3.8,No,23:49,06:25,7,lajang,2,No
ID_142,female,19,Russia,S1,Instagram,6.8,Yes,23:32,05:26,4,lajang,5,Yes
ID_388,perempuan,22,Russia,S2,Instagram,6.8,Yes,23:09,05:03,4,lajang,5,Yes
ID_640,female,20,Maldives,S1,Instagram,4.0,No,21:07,05:07,8,berpasangan,2,No
ID_647,P,19,Singapore,S1,TikTok,5.7,Yes,23:41,06:05,6,lajang,3,Yes
ID_193,P,20,Ireland,S1,TikTok,4.5,Yes,20:46,04:10,7,lajang,3,No
ID_157,female,19,Spain,S1,Instagram,3.8,Yes,22:22,06:28,6,lajang,3,Yes
ID_211,laki-laki,21,New Zealand,S2,Facebook,4.4,Yes,20:55,04:43,7,berpasangan,3,No
ID_417,male,22,Bangladesh,S2,Facebook,4.7,Yes,20:38,03:32,5,lajang,4,Yes
ID_480,perempuan,20,South Korea,S1,KakaoTalk,5.0,Yes,20:48,03:30,6,berpasangan,3,No
ID_395,P,19,Ireland,SMA,Instagram,6.1,Yes,21:12,02:24,5,hubungan rumit,4,Yes
ID_449,perempuan,19,Norway,SMA,Instagram,5.0,Yes,23:16,04:58,5,berpasangan,3,Yes
ID_329,perempuan,19,Japan,S1,LINE,3.4,No,23:44,07:56,8,lajang,1,No
ID_55,P,19,Sri Lanka,S1,Facebook,4.9,No,23:11,06:41,7,lajang,2,No
ID_24,female,19,Sri Lanka,S1,Facebook,5.1,No,21:43,04:43,7,lajang,2,No
ID_162,L,21,India,S2,WhatsApp,6.1,Yes,23:51,06:03,5,berpasangan,4,Yes
ID_58,male,23,Switzerland,S2,Facebook,4.5,No,20:17,03:35,7,berpasangan,2,No
ID_204,female,20,South Korea,S1,KakaoTalk,5.0,Yes,20:16,03:04,6,lajang,3,No
ID_401,L,20,Bangladesh,S1,Instagram,6.1,Yes,23:53,06:05,5,lajang,4,Yes
ID_611,female,24,Switzerland,S2,Facebook,4.6,No,21:30,04:42,7,berpasangan,2,No
ID_562,L,21,UK,S2,Instagram,4.9,Yes,22:34,05:16,6,lajang,3,Yes
ID_442,laki-laki,22,Bangladesh,S2,Facebook,5.1,Yes,20:36,03:06,5,lajang,4,Yes
ID_146,male,21,Bangladesh,S2,Facebook,6.0,Yes,21:25,03:13,5,berpasangan,4,Yes
ID_667,female,21,Turkey,S1,Instagram,6.7,Yes,21:26,03:26,5,lajang,4,Yes
ID_378,L,22,Venezuela,S2,Facebook,3.3,No,23:38,06:20,7,berpasangan,2,No
ID_645,P,20,USA,S1,TikTok,8.0,Yes,20:42,01:00,5,berpasangan,4,Yes
ID_280,L,21,Denmark,S2,Facebook,3.2,No,21:35,06:11,8,berpasangan,2,No
ID_537,perempuan,19,Canada,S1,Instagram,5.7,Yes,22:14,04:50,6,lajang,3,Yes
ID_42,female,19,USA,S1,Instagram,7.7,Yes,22:35,03:11,5,berpasangan,4,Yes
ID_36,male,22,Germany,S2,Facebook,4.2,No,23:16,07:04,7,berpasangan,2,No
ID_200,female,20,Canada,S1,Instagram,5.6,Yes,23:31,06:13,6,lajang,3,Yes
ID_490,P,19,Ireland,S1,Instagram,3.4,Yes,20:42,05:12,7,lajang,3,No
ID_23,female,19,France,S1,Instagram,3.7,No,23:35,07:53,7,berpasangan,2,No
ID_176,laki-laki,19,Bangladesh,S1,TikTok,4.5,Yes,20:39,03:45,5,lajang,4,Yes
ID_102,P,20,Bhutan,SMA,Snapchat,5.5,Yes,21:26,02:56,5,hubungan rumit,4,Yes
ID_590,laki-laki,22,Bangladesh,S2,Facebook,4.3,Yes,22:23,05:41,5,lajang,4,Yes
ID_447,male,19,China,S1,WeChat,5.6,Yes,22:05,04:53,6,berpasangan,3,Yes
ID_155,P,23,USA,S2,Twitter,5.3,Yes,22:43,05:31,6,berpasangan,3,Yes
ID_353,P,21,UK,S1,TikTok,6.3,Yes,20:46,03:10,5,lajang,4,Yes
ID_257,perempuan,22,Italy,S2,Twitter,5.1,No,22:51,05:57,7,berpasangan,2,No
ID_459,P,20,Australia,S1,Facebook,4.8,No,21:40,04:52,7,berpasangan,2,No
ID_488,P,19,Slovenia,SMA,TikTok,5.7,Yes,21:30,02:54,5,berpasangan,4,Yes
ID_289,male,22,Malaysia,S2,WhatsApp,5.6,Yes,21:05,03:47,6,lajang,3,Yes
ID_69,P,19,Netherlands,S1,TikTok,3.7,No,20:43,05:01,8,lajang,2,No
ID_205,laki-laki,22,Turkey,S2,TikTok,4.4,Yes,22:23,06:11,6,lajang,3,Yes
ID_287,male,22,Turkey,S2,TikTok,5.4,Yes,23:49,06:37,6,lajang,3,Yes
ID_549,laki-laki,22,Israel,S2,Facebook,3.1,No,21:34,04:22,7,lajang,1,No
ID_117,L,21,UK,S2,Instagram,5.3,Yes,23:06,05:24,6,lajang,3,Yes
ID_693,female,19,Ireland,S1,Instagram,4.8,Yes,21:29,04:35,7,lajang,3,No
ID_539,P,20,USA,S1,TikTok,7.2,Yes,23:06,04:12,5,berpasangan,4,Yes
ID_367,perempuan,19,Ireland,S1,TikTok,5.5,Yes,23:03,05:51,6,lajang,4,Yes
ID_624,P,19,Nigeria,SMA,Instagram,5.8,Yes,22:27,03:51,5,hubungan rumit,4,Yes
ID_396,L,22,UK,S2,Twitter,6.2,Yes,21:36,03:54,5,lajang,4,Yes
ID_585,perempuan,20,India,S1,WhatsApp,6.9,Yes,23:24,05:18,5,berpasangan,4,Yes
ID_184,perempuan,21,USA,S1,Twitter,5.3,Yes,22:27,05:15,6,berpasangan,3,Yes
ID_340,perempuan,19,Japan,S1,LINE,3.6,No,23:16,07:22,8,lajang,1,No
ID_348,P,20,Australia,S1,Instagram,4.4,No,23:00,06:24,7,lajang,2,No
ID_22,male,21,Denmark,S2,Facebook,4.1,No,23:02,06:50,8,berpasangan,2,No
ID_403,laki-laki,22,Germany,S2,Instagram,3.8,No,22:59,06:41,8,lajang,1,No
ID_226,L,22,Canada,S2,TikTok,4.6,Yes,22:09,05:45,6,lajang,3,Yes
ID_595,P,19,Ireland,S1,Instagram,3.8,Yes,22:07,06:13,7,lajang,3,No
ID_615,P,22,China,S2,WeChat,5.7,Yes,20:57,03:39,6,berpasangan,3,Yes
ID_438,female,19,Switzerland,S1,Instagram,2.9,No,20:17,05:11,8,lajang,2,No
ID_206,P,20,USA,S1,Instagram,5.9,Yes,21:17,03:59,6,berpasangan,3,Yes
ID_34,male,23,Russia,S2,Instagram,6.8,Yes,21:57,03:51,4,lajang,5,Yes
ID_643,laki-laki,22,Ireland,S2,Instagram,5.8,Yes,22:11,04:47,6,lajang,3,Yes
ID_286,P,19,Switzerland,S1,Instagram,3.7,No,22:10,06:16,8,lajang,2,No
ID_277,male,21,India,S1,Facebook,7.1,Yes,20:45,02:27,4,lajang,5,Yes
ID_103,L,21,Turkey,S2,Instagram,4.7,Yes,23:33,07:03,6,lajang,3,Yes
ID_575,female,22,India,S2,Instagram,5.8,Yes,20:18,02:06,6,berpasangan,3,Yes
ID_192,L,21,Turkey,S2,Instagram,5.1,Yes,20:11,03:17,6,lajang,3,Yes
ID_504,laki-laki,22,India,S2,WhatsApp,7.0,Yes,21:55,03:13,5,berpasangan,4,Yes
ID_602,male,21,India,S2,WhatsApp,7.3,Yes,22:55,03:55,5,berpasangan,4,Yes
ID_139,female,20,Bangladesh,S1,Instagram,4.3,Yes,20:41,04:17,5,lajang,3,Yes
ID_241,male,24,Malaysia,S2,LinkedIn,2.2,No,22:58,06:22,8,lajang,0,No
ID_456,laki-laki,24,South Africa,S2,LinkedIn,2.3,No,20:14,03:32,8,berpasangan,1,No
ID_594,laki-laki,22,Denmark,S2,Facebook,3.1,No,22:18,07:00,8,berpasangan,2,No
ID_8,male,23,Sri Lanka,S2,LinkedIn,2.6,No,20:54,04:06,8,berpasangan,1,No
ID_16,L,21,Mexico,S2,WhatsApp,5.9,Yes,20:37,02:55,6,lajang,3,Yes
ID_325,female,19,India,S1,TikTok,7.0,Yes,21:51,03:39,4,lajang,5,Yes
ID_28,male,18,UK,SMA,YouTube,3.0,No,22:48,05:48,7,lajang,1,No
ID_294,L,21,Panama,S1,Facebook,3.6,No,20:27,02:57,7,berpasangan,2,No
ID_495,female,19,France,S1,Instagram,3.5,No,23:58,08:28,7,berpasangan,2,No
ID_111,P,18,Mexico,SMA,Instagram,6.5,Yes,20:58,02:28,5,lajang,4,Yes
ID_366,P,19,Ireland,S1,Instagram,4.2,Yes,23:28,07:10,7,lajang,3,No
ID_563,male,23,Bosnia,S2,LinkedIn,2.4,No,21:24,04:48,8,hubungan rumit,1,No
ID_471,laki-laki,22,Poland,S2,TikTok,6.3,Yes,22:19,04:31,5,lajang,4,Yes
ID_622,P,20,Poland,S1,Facebook,6.1,Yes,22:14,04:38,5,lajang,4,Yes
ID_93,L,21,India,S2,WhatsApp,6.3,Yes,21:32,03:32,5,berpasangan,4,Yes
ID_538,female,20,Estonia,S1,Instagram,4.5,Yes,22:12,04:06,6,hubungan rumit,3,Yes
ID_119,perempuan,19,Spain,S1,Instagram,4.0,Yes,23:15,07:09,6,lajang,3,Yes
ID_674,laki-laki,21,UK,S2,Facebook,5.6,Yes,22:59,05:35,6,berpasangan,3,Yes
ID_390,female,19,Bangladesh,S1,Instagram,4.6,Yes,23:41,06:41,5,lajang,3,Yes
ID_696,female,19,Switzerland,S1,Instagram,4.0,No,20:56,04:50,8,lajang,2,No
ID_552,P,19,Japan,S1,LINE,3.1,No,22:16,06:46,8,lajang,1,No
ID_238,L,24,Italy,S2,Facebook,4.9,No,20:21,03:39,7,berpasangan,2,No
ID_56,L,21,Maldives,S2,TikTok,5.4,Yes,23:03,05:03,6,berpasangan,4,Yes
ID_164,P,21,Pakistan,S2,Instagram,4.4,Yes,23:58,07:10,5,berpasangan,4,Yes
ID_619,female,20,Netherlands,S1,Instagram,3.4,No,20:00,04:36,8,lajang,2,No
ID_14,P,20,Turkey,S1,Instagram,6.6,Yes,20:41,02:47,5,lajang,4,Yes
ID_54,female,19,Sri Lanka,S1,Facebook,4.7,No,20:22,04:16,7,lajang,2,No
ID_197,perempuan,21,Maldives,S2,Instagram,3.8,No,20:08,04:20,8,berpasangan,2,No
ID_125,L,22,India,S2,WhatsApp,7.2,Yes,20:49,01:55,5,berpasangan,4,Yes
ID_13,laki-laki,22,Mexico,S2,WhatsApp,7.0,Yes,22:24,03:36,6,lajang,3,Yes
ID_341,female,19,Australia,S1,Instagram,7.2,Yes,20:25,00:55,4,hubungan rumit,5,Yes
ID_653,perempuan,19,USA,S1,Instagram,6.8,Yes,20:41,02:35,4,lajang,4,Yes
ID_498,female,21,Finland,S1,Instagram,4.1,No,21:25,05:07,7,berpasangan,2,No
ID_20,perempuan,19,Singapore,S1,TikTok,5.1,Yes,22:13,05:13,6,lajang,3,Yes
ID_373,laki-laki,22,Germany,S2,Instagram,3.9,No,22:43,06:31,8,lajang,1,No
ID_264,L,21,Pakistan,S2,Instagram,4.0,Yes,22:34,06:16,5,berpasangan,3,Yes
ID_159,female,20,Nepal,S1,TikTok,5.7,Yes,22:20,03:56,6,lajang,4,Yes
ID_129,laki-laki,21,Mexico,S2,WhatsApp,6.5,Yes,22:08,03:50,6,lajang,3,Yes
ID_690,P,20,Sri Lanka,S1,Facebook,4.2,No,22:17,07:11,7,lajang,2,No
ID_631,perempuan,22,Pakistan,S2,Instagram,5.5,Yes,22:27,04:27,5,lajang,4,Yes
ID_657,L,22,Mexico,S2,WhatsApp,6.0,Yes,22:05,04:17,6,lajang,3,Yes
ID_149,female,23,Italy,S2,Twitter,4.8,No,23:24,06:30,7,berpasangan,2,No
ID_182,male,20,Yemen,S1,Facebook,4.7,Yes,23:43,05:31,6,berpasangan,3,Yes
ID_497,male,21,Italy,S2,Instagram,5.3,Yes,22:17,05:05,5,lajang,3,Yes
ID_333,P,23,Switzerland,S2,Instagram,4.4,No,23:05,06:29,7,berpasangan,2,No
ID_596,L,22,Canada,S2,TikTok,3.6,Yes,23:20,07:56,6,lajang,3,Yes
ID_702,female,19,USA,S1,TikTok,6.9,Yes,21:06,02:48,4,berpasangan,4,Yes
ID_470,L,19,France,S1,Instagram,4.7,No,23:22,06:34,7,berpasangan,2,No
ID_680,male,23,Belarus,S2,LinkedIn,2.5,No,22:18,05:36,8,berpasangan,1,No
ID_586,female,20,Brazil,S1,TikTok,5.7,Yes,22:11,04:59,6,lajang,3,Yes
ID_432,laki-laki,21,Turkey,S2,Instagram,5.5,Yes,23:13,05:55,6,lajang,3,Yes
ID_144,female,20,Australia,S1,Facebook,4.4,No,21:45,05:09,7,berpasangan,2,No
ID_491,female,19,USA,S1,Instagram,7.1,Yes,20:37,01:37,4,lajang,4,Yes
ID_678,laki-laki,21,India,S2,Facebook,4.9,No,22:27,06:15,7,berpasangan,2,No
ID_648,male,21,New Zealand,S2,Facebook,4.2,Yes,23:29,07:29,7,berpasangan,3,No
ID_558,laki-laki,19,Nepal,S1,TikTok,4.3,No,20:08,03:50,7,lajang,2,No
ID_228,P,19,India,S1,WhatsApp,6.8,Yes,22:44,04:44,5,berpasangan,4,Yes
ID_274,perempuan,23,Iraq,S2,LinkedIn,2.5,No,21:58,05:16,8,lajang,1,No
ID_151,P,20,Philippines,S1,Snapchat,4.8,Yes,20:43,02:25,6,berpasangan,3,Yes
ID_198,female,19,USA,S1,TikTok,7.0,Yes,20:10,01:58,4,berpasangan,4,Yes
ID_503,L,21,UK,S1,Facebook,6.2,Yes,21:58,04:16,5,lajang,4,Yes
ID_627,male,21,Turkey,S2,Instagram,5.3,Yes,20:32,03:26,6,lajang,3,Yes
ID_351,P,19,India,S1,WhatsApp,7.4,Yes,20:32,01:56,5,berpasangan,4,Yes
ID_517,P,20,Bangladesh,S1,Instagram,4.7,Yes,22:26,05:14,5,lajang,3,Yes
ID_467,perempuan,19,Ireland,S1,Instagram,3.2,Yes,20:31,05:13,7,lajang,3,No
ID_283,P,19,Switzerland,S1,Instagram,3.5,No,20:50,05:08,8,lajang,2,No
ID_284,L,21,Mexico,S2,WhatsApp,6.1,Yes,23:43,05:49,6,lajang,3,Yes
ID_212,female,18,Czech Republic,SMA,Snapchat,6.1,Yes,20:19,01:31,4,lajang,4,Yes
ID_359,male,22,Pakistan,S2,Instagram,4.3,Yes,23:51,06:57,5,berpasangan,3,Yes
ID_618,L,22,Poland,S2,Facebook,3.8,No,21:47,06:05,7,lajang,2,No
ID_110,female,20,USA,S1,TikTok,6.0,Yes,21:23,02:23,5,hubungan rumit,4,Yes
ID_670,female,20,Spain,S1,TikTok,4.9,Yes,21:19,04:19,6,lajang,3,Yes
ID_641,P,23,Finland,S2,Instagram,4.4,No,23:17,06:41,7,berpasangan,2,No
ID_94,perempuan,19,Japan,S1,Twitter,4.5,No,21:47,05:23,8,lajang,2,No
ID_108,P,20,Spain,S1,TikTok,4.1,Yes,22:48,06:36,6,lajang,3,Yes
ID_591,L,22,Canada,S2,TikTok,4.2,Yes,20:28,04:28,6,lajang,3,Yes
ID_422,laki-laki,19,Russia,S1,Instagram,6.7,Yes,20:39,02:39,4,lajang,4,Yes
ID_513,L,21,Italy,S2,TikTok,5.2,Yes,22:45,05:39,5,berpasangan,3,Yes
ID_250,L,20,Spain,S1,Facebook,6.5,Yes,20:26,02:38,5,lajang,4,Yes
ID_177,male,21,Canada,S2,Instagram,3.9,Yes,22:31,06:49,6,lajang,3,Yes
ID_686,perempuan,19,Japan,S1,LINE,3.0,No,22:45,07:21,8,lajang,1,No
ID_458,perempuan,20,USA,S1,TikTok,7.4,Yes,22:13,03:07,5,berpasangan,4,Yes
ID_167,perempuan,20,Pakistan,S1,Instagram,5.0,Yes,20:53,03:29,5,berpasangan,4,Yes
ID_387,male,22,Maldives,S2,TikTok,5.3,Yes,20:42,02:24,6,berpasangan,4,Yes
ID_460,male,22,Russia,S2,VKontakte,4.0,No,23:17,07:17,7,lajang,2,No
ID_529,L,20,Oman,S1,Instagram,4.6,Yes,23:10,05:04,6,lajang,3,Yes
ID_45,perempuan,19,France,S1,Instagram,3.1,No,23:48,08:42,7,berpasangan,2,No
ID_44,male,22,China,S2,WeChat,5.6,Yes,23:00,05:42,6,berpasangan,3,Yes
ID_223,perempuan,19,USA,S1,TikTok,6.8,Yes,21:50,03:08,4,berpasangan,4,Yes
ID_21,L,22,Russia,S2,VKontakte,4.2,No,20:13,04:01,7,lajang,2,No
ID_143,male,20,Denmark,S1,Twitter,4.5,No,20:05,03:23,7,berpasangan,2,No
ID_405,L,21,Mexico,S2,WhatsApp,6.7,Yes,20:59,02:29,6,lajang,3,Yes
ID_369,perempuan,20,Netherlands,S1,Snapchat,4.7,Yes,20:01,01:55,6,hubungan rumit,3,Yes
ID_237,laki-laki,21,Turkey,S2,Instagram,4.3,Yes,22:01,05:55,6,lajang,3,Yes
ID_426,female,19,Poland,S1,Facebook,6.2,Yes,20:42,03:00,5,lajang,4,Yes
ID_312,male,21,Pakistan,S2,Instagram,3.8,Yes,22:38,06:44,5,berpasangan,3,Yes
ID_17,laki-laki,21,Italy,S2,TikTok,5.1,Yes,23:22,06:22,5,berpasangan,3,Yes
ID_308,L,22,Mexico,S2,WhatsApp,5.8,Yes,23:27,05:51,6,lajang,3,Yes
ID_338,P,20,Switzerland,S1,Instagram,2.2,No,21:18,06:54,8,lajang,2,No
ID_262,female,21,Italy,S1,TikTok,4.8,No,22:26,05:32,7,berpasangan,2,No
ID_510,male,18,Japan,SMA,TikTok,4.0,No,23:36,06:06,7,lajang,1,No
ID_255,laki-laki,22,India,S2,WhatsApp,7.4,Yes,20:44,01:38,5,berpasangan,4,Yes
ID_545,P,19,Switzerland,S1,Instagram,2.5,No,21:07,06:25,8,lajang,2,No
ID_514,male,21,Italy,S2,Instagram,5.2,Yes,23:59,06:53,5,lajang,3,Yes
ID_614,L,21,Canada,S2,Instagram,5.1,Yes,20:21,03:27,6,lajang,3,Yes
ID_345,L,22,India,S2,Twitter,2.1,No,22:25,05:55,8,lajang,0,No
ID_1,perempuan,20,Australia,S1,Facebook,4.7,No,23:00,06:24,7,berpasangan,2,No
